frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
9000,28.7,26.1,30.7,23.2,34.6,1679.8,16214.9,85.9,1900.0,917510
9100,28.2,32.5,27.8,21.9,30.7,1675.1,16214.9,85.9,2400.0,917510
9200,27.9,32.1,29.2,20.4,30.4,1676.9,16214.9,85.9,2400.0,917510
9300,28.0,31.7,34.0,20.4,25.2,1675.2,16214.9,85.4,2400.0,917510
9400,28.3,29.5,28.2,21.4,34.0,1678.4,16214.9,84.8,2400.0,917510
9500,28.6,34.8,26.3,23.8,30.3,1673.6,16214.9,85.9,2400.0,917510
9600,28.4,34.8,32.1,20.9,25.3,1679.2,16214.9,85.9,2400.0,917510
9700,27.7,26.0,30.4,19.8,34.5,1677.0,16214.9,85.4,2400.0,917510
9800,28.0,26.2,31.7,24.0,30.2,1675.0,16214.9,85.4,2400.0,917510
9900,28.1,32.8,34.4,20.9,24.3,1674.6,16214.9,85.9,2400.0,917510
