# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
103,1024,9.115,3.713,5.402,0.010,0.063,0.085,0.357,4.881,47.4,48567.1,1024.0,41.6,48182.3,1158.0
104,1024,17.612,12.065,5.547,0.011,0.064,0.097,0.431,4.935,47.4,48567.1,1024.0,41.6,48182.3,1158.0
105,1024,24.894,17.448,7.446,0.013,0.111,1.552,0.856,4.905,47.4,48567.1,1024.0,41.6,48182.3,1158.0
106,1024,14.650,7.387,7.263,0.009,0.064,1.903,0.360,4.922,47.4,48567.1,1024.0,41.6,48182.3,1158.0
107,1024,25.328,17.801,7.527,0.011,0.065,2.030,0.357,5.053,47.4,48567.1,1024.0,41.6,48182.3,1158.0
108,1024,8.482,0.975,7.507,0.008,0.059,2.002,0.336,5.101,47.4,48567.1,1024.0,41.6,48182.3,1158.0
109,1024,21.583,13.901,7.682,0.011,0.066,2.152,0.356,5.086,47.4,48567.1,1024.0,41.6,48182.3,1158.0
110,1024,7.762,0.611,7.151,0.007,0.060,1.690,0.334,5.058,47.4,48567.1,1024.0,41.6,48182.3,1158.0
111,1024,13.689,7.948,5.741,0.010,0.065,0.099,0.396,5.160,47.4,48567.1,1024.0,41.6,48182.3,1158.0
112,1024,21.404,15.480,5.924,0.012,0.107,0.096,0.506,5.194,47.4,48567.1,1024.0,41.6,48182.3,1158.0
113,1024,8.366,0.279,8.087,0.008,0.058,2.056,0.665,5.298,47.4,48567.1,1024.0,41.6,48182.3,1158.0
114,1024,22.063,14.026,8.037,0.009,0.062,2.372,0.359,5.228,47.4,48567.1,1024.0,41.6,48182.3,1158.0
115,1024,8.879,1.086,7.793,0.008,0.060,2.130,0.335,5.255,47.4,48567.1,1024.0,41.6,48182.3,1158.0
116,1024,18.210,10.277,7.933,0.010,0.066,2.106,0.349,5.392,47.4,48567.1,1024.0,41.6,48182.3,1158.0
117,1024,26.524,18.569,7.955,0.010,0.066,2.102,0.356,5.411,47.4,48567.1,1024.0,41.6,48182.3,1158.0
118,1024,12.610,5.523,7.087,0.008,0.059,1.263,0.337,5.417,47.4,48567.1,1024.0,41.6,48182.3,1158.0
119,1024,19.946,13.854,6.092,0.011,0.064,0.093,0.394,5.521,47.4,48567.1,1024.0,41.6,48182.3,1158.0
120,1024,26.690,19.695,6.995,0.011,0.109,0.444,0.877,5.544,47.4,48567.1,1024.0,41.6,48182.3,1158.0
121,1024,17.705,9.121,8.584,0.011,0.061,2.602,0.358,5.546,47.4,48567.1,1024.0,41.6,48182.3,1158.0
122,1024,28.051,19.627,8.424,0.012,0.064,2.382,0.356,5.602,47.4,48567.1,1024.0,41.6,48182.3,1158.0
123,1024,14.453,6.015,8.438,0.007,0.060,2.544,0.334,5.491,47.4,48567.1,1024.0,41.6,48182.3,1158.0
124,1024,24.120,15.407,8.713,0.011,0.067,2.573,0.357,5.697,47.4,48567.1,1024.0,41.6,48182.3,1158.0
125,1024,11.615,3.128,8.487,0.007,0.060,2.452,0.332,5.634,47.4,48567.1,1024.0,41.6,48182.3,1158.0
126,1024,17.608,10.332,7.276,0.011,0.064,1.053,0.357,5.781,47.4,48567.1,1024.0,41.6,48182.3,1158.0
127,1024,24.046,17.635,6.411,0.012,0.066,0.095,0.396,5.833,47.4,48567.1,1024.0,41.6,48182.3,1158.0
128,1024,10.427,2.990,7.437,0.008,0.081,0.899,0.695,5.750,47.4,48567.1,1024.0,41.6,48182.3,1158.0
129,1024,22.430,13.777,8.653,0.008,0.062,2.423,0.358,5.797,47.4,48567.1,1024.0,41.6,48182.3,1158.0
130,1024,10.430,1.458,8.972,0.007,0.059,2.696,0.349,5.859,47.4,48567.1,1024.0,41.6,48182.3,1158.0
131,1024,19.555,10.686,8.869,0.011,0.063,2.557,0.350,5.880,47.4,48567.1,1024.0,41.6,48182.3,1158.0
132,1024,27.999,18.823,9.176,0.011,0.063,2.795,0.347,5.949,47.4,48567.1,1024.0,41.6,48182.3,1158.0
133,1024,16.166,6.951,9.215,0.008,0.059,2.908,0.336,5.902,47.4,48567.1,1024.0,41.6,48182.3,1158.0
134,1024,23.019,15.965,7.054,0.011,0.063,0.533,0.370,6.066,47.4,48567.1,1024.0,41.6,48182.3,1158.0
135,1024,7.479,1.044,6.435,0.008,0.058,0.082,0.336,5.949,47.4,48567.1,1024.0,41.6,48182.3,1158.0
136,1024,15.177,6.404,8.773,0.009,0.108,1.627,0.868,6.151,47.4,48567.1,1024.0,41.6,48182.3,1158.0
137,1024,29.221,20.019,9.202,0.011,0.092,2.601,0.355,6.134,47.4,48567.1,1024.0,41.6,48182.3,1158.0
138,1024,16.401,7.348,9.053,0.008,0.059,2.497,0.343,6.144,47.4,48567.1,1024.0,41.6,48182.3,1158.0
139,1024,26.884,17.583,9.301,0.012,0.065,2.605,0.350,6.258,47.4,48567.1,1024.0,41.6,48182.3,1158.0
140,1024,14.909,5.830,9.079,0.007,0.060,2.457,0.338,6.214,47.4,48567.1,1024.0,41.6,48182.3,1158.0
141,1024,23.058,13.989,9.069,0.012,0.066,2.256,0.350,6.375,47.4,48567.1,1024.0,41.6,48182.3,1158.0
142,1024,8.943,2.148,6.795,0.008,0.059,0.081,0.334,6.310,47.4,48567.1,1024.0,41.6,48182.3,1158.0
143,1024,16.229,9.134,7.095,0.011,0.066,0.097,0.440,6.472,47.4,48567.1,1024.0,41.6,48182.3,1158.0
144,1024,24.635,15.443,9.192,0.010,0.109,1.838,0.816,6.410,47.4,48567.1,1024.0,41.6,48182.3,1158.0
145,1024,16.023,6.687,9.336,0.009,0.062,2.452,0.376,6.428,47.4,48567.1,1024.0,41.6,48182.3,1158.0
146,1024,27.756,18.245,9.511,0.011,0.063,2.534,0.349,6.543,47.4,48567.1,1024.0,41.6,48182.3,1158.0
147,1024,15.105,5.713,9.392,0.008,0.059,2.496,0.335,6.490,47.4,48567.1,1024.0,41.6,48182.3,1158.0
148,1024,24.785,15.564,9.221,0.013,0.064,2.214,0.352,6.570,47.4,48567.1,1024.0,41.6,48182.3,1158.0
149,1024,12.555,3.879,8.676,0.008,0.059,1.765,0.332,6.510,47.4,48567.1,1024.0,41.6,48182.3,1158.0
150,1024,19.906,12.546,7.360,0.011,0.066,0.100,0.404,6.767,47.4,48567.1,1024.0,41.6,48182.3,1158.0
151,1024,28.197,20.892,7.305,0.012,0.113,0.091,0.425,6.653,47.4,48567.1,1024.0,41.6,48182.3,1158.0
152,1024,15.835,6.144,9.691,0.008,0.058,2.340,0.676,6.606,47.4,48567.1,1024.0,41.6,48182.3,1158.0
153,2048,34.700,21.906,12.794,0.018,0.124,5.209,0.677,6.758,47.4,48567.1,1024.0,41.6,48182.3,1158.0
154,1024,25.041,15.015,10.026,0.010,0.066,2.717,0.352,6.873,47.4,48567.1,1024.0,41.6,48182.3,1158.0
155,1024,13.175,2.998,10.177,0.008,0.060,3.027,0.342,6.738,47.4,48567.1,1024.0,41.6,48182.3,1158.0
156,1024,22.442,13.139,9.303,0.012,0.063,1.873,0.355,6.992,47.4,48567.1,1024.0,41.6,48182.3,1158.0
